sample	cell_type	coarse_type	Bcell	DC	Erythroid	HSC_like	Myeloid	T_NK
 HSC CD38- CD34+	HSC CD38- CD34+	HSC_like	4.279828707175707e-06	0.0028940865769767465	0.30839979584835386	0.6855907394467318	0.0030426892241275107	6.840907510299506e-05
 HSC CD38- CD34+.1	HSC CD38- CD34+	HSC_like	2.1477480415260048e-05	0.0037620398003959193	0.12610992058523463	0.8689632372081724	0.0011124581327008403	3.086679308113891e-05
 HSC CD38- CD34+.2	HSC CD38- CD34+	HSC_like	5.48246508094334e-06	0.0008166018548933146	0.058784197138614484	0.939955122113373	0.0003595426154239535	7.905381261418287e-05
 HSC CD38- CD34+.3	HSC CD38- CD34+	HSC_like	2.1521290709898777e-05	0.00659086316507598	0.032873124740989516	0.9590250150452365	0.0014727609394790846	1.6714818509025077e-05
B-cell class can switch	B-cell class can switch	Bcell	0.4812773490763246	0.002633237377176174	0.0016711106509651723	0.00036842859329175846	0.05386728400772138	0.46018259029452097
B-cell class can switch.1	B-cell class can switch	Bcell	0.415263504747005	0.0013154581259646899	0.0007857530920399876	0.0003138032122949068	0.04018102940460835	0.5421404514180871
B-cell class can switch.2	B-cell class can switch	Bcell	0.6420997232875884	0.005288212938560503	0.0008359311059492616	0.0002832962846215183	0.09718279903069228	0.254310037352588
B-cell class can switch.3	B-cell class can switch	Bcell	0.6856806770427091	0.004654062348480661	0.004229140961529732	0.0002848009629815662	0.08865962190860534	0.21649169677569388
B-cell class can switch.4	B-cell class can switch	Bcell	0.6990724751092424	0.0010710766163141677	0.000646364364708676	0.000244226533618772	0.022705617628009912	0.2762602397481059
B-cell class switched	B-cell class switched	Bcell	0.7692531646667248	0.0011541973118868432	0.0005803516341734257	0.00013361367152146258	0.025078945153018187	0.20379972756267525
B-cell class switched.1	B-cell class switched	Bcell	0.9167028388932374	0.007125626610827737	0.0017469224061990923	6.10519294884926e-05	0.017569658437734177	0.05679390172251292
B-cell class switched.2	B-cell class switched	Bcell	0.8124646120177288	0.0021172170291300944	0.00047324800879774265	9.764823934846928e-05	0.04755113292715178	0.13729614177784327
B-cell class switched.3	B-cell class switched	Bcell	0.6363517247091172	0.0049599439004568025	0.0009539760393244667	0.0003307020067605557	0.05822500177920825	0.2991786515651329
B-cell class switched.4	B-cell class switched	Bcell	0.6032379663943599	0.003374919608874278	0.0008490322450108228	0.00035282598197941214	0.046432424988897644	0.34575283078087776
B-cells	B-cells	Bcell	0.5968729131539173	0.005378270787909546	0.000524356748854424	0.0001971221712089626	0.04025223367185642	0.35677510346625313
B-cells.1	B-cells	Bcell	0.8827640294693072	0.01958347444778224	0.002212944075518233	0.0008576315103879521	0.06654757641874784	0.028034344078256578
B-cells.2	B-cells	Bcell	0.7486043958326444	0.004299483843973656	0.000581631262394014	0.00019869407608822363	0.05760593430852573	0.18870986067637416
B-cells.3	B-cells	Bcell	0.5340342057507783	0.007252234960032012	0.003562085355737894	0.00038496681332954725	0.09179955480875261	0.36296695231136955
B-cells.4	B-cells	Bcell	0.467150436874098	0.006024844689806688	0.0026794920937463734	0.0002277771819336571	0.14004354690681914	0.3838739022535961
Basophils	Basophils	Myeloid	0.006003424150388653	0.008683284642581564	0.002115366317368822	0.00026377439264988953	0.9828395836502741	9.456684673704211e-05
Basophils.1	Basophils	Myeloid	0.014342086892989544	0.005786144099631925	0.0033523641588083866	0.0001792202708486936	0.9758969840992132	0.0004432004785080699
Basophils.2	Basophils	Myeloid	0.515679575821434	0.039210123531865954	0.01730900897583038	0.00020003190475148717	0.21056850405351224	0.21703275571260602
Basophils.3	Basophils	Myeloid	0.23315466877304544	0.07763832849091998	0.024924768352918448	0.00023306825614279088	0.2550930547117387	0.40895611141523464
Basophils.4	Basophils	Myeloid	0.12129170426190711	0.011945496912819481	0.027527911988710612	0.00041008917290041516	0.8345352345156785	0.004289563147983947
Basophils.5	Basophils	Myeloid	0.4348696486610608	0.022204333191670672	0.011648952032351825	0.00035413953369412693	0.30493431824029366	0.22598860834092888
CD4+Centr.Mem.	CD4+Centr	T_NK	0.079321461525614	0.0025486527195022193	0.0012525783094758948	0.00021355551847550302	0.007282496649552335	0.9093812552773801
CD4+Centr.Mem..1	CD4+Centr	T_NK	0.144487741102908	0.01843371603465529	0.0055556189333284085	0.00034977368384219815	0.028368128814563943	0.8028050214307021
CD4+Centr.Mem..2	CD4+Centr	T_NK	0.09822825448230926	0.002816991955575354	0.00024030628130975655	0.00023635755121709302	0.008907147005558292	0.8895709427240303
CD4+Centr.Mem..3	CD4+Centr	T_NK	0.060139095102397185	0.0009012546338033517	0.0005000320003911215	0.00011202914285349514	0.006457542890917275	0.9318900462296376
CD4+Centr.Mem..4	CD4+Centr	T_NK	0.03901451458796549	0.001280676442876159	0.0004155807771143235	0.0001232900934081303	0.009779833502685449	0.9493861045959505
CD4+Centr.Mem..5	CD4+Centr	T_NK	0.025730891562293485	0.0012004353132838378	0.0002938573657470986	0.00021054775634800699	0.0059569041102863814	0.9666073638920412
CD4+Centr.Mem..6	CD4+Centr	T_NK	0.011875128871828977	0.00038171525006853427	5.50663517271219e-05	3.1999697307762716e-05	0.004006822312337802	0.9836492675167299
CD4+Effec.Mem.	CD4+Effec	T_NK	0.047089161877289766	0.0018732299429517648	0.003025245585176986	5.9400935369623045e-05	0.010597361252326036	0.9373556004068859
CD4+Effec.Mem..1	CD4+Effec	T_NK	0.12220829656968488	0.04014715933948801	0.014235195522528726	0.00026076582195227034	0.13968472105227595	0.6834638616940701
CD4+Effec.Mem..2	CD4+Effec	T_NK	0.09592958580546142	0.0010575851355919745	0.0002979011891764724	0.00015907880694076255	0.007129017547585489	0.8954268315152438
CD4+Effec.Mem..3	CD4+Effec	T_NK	0.09712696184449368	0.0013039680730171528	0.0008101462307245594	0.00021028634566675231	0.02516039700823687	0.8753882404978611
CD4+Effec.Mem..4	CD4+Effec	T_NK	0.1197724415725623	0.002205382245949477	0.0015745935585469962	0.0007994071063540323	0.07584141763903203	0.7998067578775551
CD4+Effec.Mem..5	CD4+Effec	T_NK	0.03877810674428877	0.0006724987586602173	0.00027725167233303083	0.00012830563376108961	0.0073890677437035	0.9527547694472535
CD4+Effec.Mem..6	CD4+Effec	T_NK	0.05314629619123053	0.0013806743340228763	0.0004948066404799178	0.00010863128272103596	0.029234919563465345	0.9156346719880804
CD8+Centr.Mem.	CD8+Centr	T_NK	0.23442775328400095	0.013826171939442187	0.003606598271931054	0.00019757994127653518	0.03108926883579708	0.7168526277275522
